circuitId,raceId,race_prcp,quali_prcp,fp1_prcp,fp2_prcp,fp3_prcp,sprint_prcp
22,914,0.0,\N,\N,\N,\N,\N
71,915,\N,\N,\N,\N,\N,\N
69,916,0.0,\N,\N,\N,\N,\N
18,917,0.0,\N,\N,\N,\N,\N
24,918,0.0,\N,\N,\N,\N,\N
6,931,0.0,\N,\N,\N,\N,\N
7,932,0.0,\N,\N,\N,\N,\N
3,929,0.0,\N,\N,\N,\N,\N
4,930,0.0,\N,\N,\N,\N,\N
17,928,0.0,\N,\N,\N,\N,\N
1,926,0.0,\N,\N,\N,\N,\N
2,927,0.0,\N,\N,\N,\N,\N
70,933,0.0,\N,\N,\N,\N,\N
9,934,0.0,\N,\N,\N,\N,\N
11,936,0.0,\N,\N,\N,\N,\N
13,937,0.0,\N,\N,\N,\N,\N
14,938,0.0,\N,\N,\N,\N,\N
15,939,0.0,\N,\N,\N,\N,\N
22,940,0.0,\N,\N,\N,\N,\N
71,941,\N,\N,\N,\N,\N,\N
69,942,0.3,\N,\N,\N,\N,\N
32,943,0.0,\N,\N,\N,\N,\N
18,944,0.0,\N,\N,\N,\N,\N
24,945,0.0,\N,\N,\N,\N,\N
1,948,0.0,\N,\N,\N,\N,\N
3,949,0.0,\N,\N,\N,\N,\N
17,950,0.0,\N,\N,\N,\N,\N
71,951,\N,\N,\N,\N,\N,\N
4,952,0.0,\N,\N,\N,\N,\N
6,953,0.4,\N,\N,\N,\N,\N
7,954,0.0,\N,\N,\N,\N,\N
73,955,0.0,\N,\N,\N,\N,\N
70,956,0.0,\N,\N,\N,\N,\N
9,957,0.0,\N,\N,\N,\N,\N
11,958,0.0,\N,\N,\N,\N,\N
10,959,0.0,\N,\N,\N,\N,\N
13,960,0.0,\N,\N,\N,\N,\N
14,961,0.0,\N,\N,\N,\N,\N
15,962,0.0,\N,\N,\N,\N,\N
2,963,0.0,\N,\N,\N,\N,\N
22,964,0.0,\N,\N,\N,\N,\N
69,965,0.0,\N,\N,\N,\N,\N
32,966,0.0,\N,\N,\N,\N,\N
18,967,0.0,\N,\N,\N,\N,\N
24,968,0.0,\N,\N,\N,\N,\N
1,969,0.0,\N,\N,\N,\N,\N
17,970,0.0,\N,\N,\N,\N,\N
3,971,0.0,\N,\N,\N,\N,\N
71,972,\N,\N,\N,\N,\N,\N
4,973,0.0,\N,\N,\N,\N,\N
6,974,0.0,\N,\N,\N,\N,\N
7,975,0.0,\N,\N,\N,\N,\N
73,976,0.0,\N,\N,\N,\N,\N
70,977,0.0,\N,\N,\N,\N,\N
9,978,0.0,\N,\N,\N,\N,\N
11,979,0.0,\N,\N,\N,\N,\N
13,980,0.0,\N,\N,\N,\N,\N
14,981,0.0,\N,\N,\N,\N,\N
15,982,0.0,\N,\N,\N,\N,\N
2,983,0.0,\N,\N,\N,\N,\N
22,984,0.0,\N,\N,\N,\N,\N
69,985,0.0,\N,\N,\N,\N,\N
32,986,0.0,\N,\N,\N,\N,\N
18,987,0.0,\N,\N,\N,\N,\N
24,988,0.0,\N,\N,\N,\N,\N
1,989,0.0,\N,\N,\N,\N,\N
3,990,0.0,\N,\N,\N,\N,\N
17,991,0.0,\N,\N,\N,\N,\N
73,992,0.0,\N,\N,\N,\N,\N
4,993,0.0,\N,\N,\N,\N,\N
6,994,0.0,\N,\N,\N,\N,\N
7,995,0.0,\N,\N,\N,\N,\N
34,996,0.0,\N,\N,\N,\N,\N
70,997,0.0,\N,\N,\N,\N,\N
9,998,0.0,\N,\N,\N,\N,\N
10,999,36.8,\N,\N,\N,\N,\N
11,1000,0.0,\N,\N,\N,\N,\N
13,1001,0.0,\N,\N,\N,\N,\N
14,1002,0.0,\N,\N,\N,\N,\N
15,1003,0.0,\N,\N,\N,\N,\N
71,1004,\N,\N,\N,\N,\N,\N
22,1005,0.0,\N,\N,\N,\N,\N
69,1006,0.0,\N,\N,\N,\N,\N
32,1007,0.0,\N,\N,\N,\N,\N
18,1008,0.0,\N,\N,\N,\N,\N
24,1009,0.0,\N,\N,\N,\N,\N
1,1010,0.0,\N,\N,\N,\N,\N
3,1011,0.0,\N,\N,\N,\N,\N
17,1012,0.0,\N,\N,\N,\N,\N
73,1013,0.0,\N,\N,\N,\N,\N
4,1014,0.0,\N,\N,\N,\N,\N
6,1015,0.0,\N,\N,\N,\N,\N
7,1016,0.0,\N,\N,\N,\N,\N
34,1017,0.0,\N,\N,\N,\N,\N
70,1018,0.0,\N,\N,\N,\N,\N
9,1019,0.0,\N,\N,\N,\N,\N
10,1020,5.6000000000000005,\N,\N,\N,\N,\N
11,1021,0.0,\N,\N,\N,\N,\N
13,1022,0.0,\N,\N,\N,\N,\N
